Names;lastNames;email;password;alergias;numero_alergias
Carolina;Torres;carolinatorres33@example.com;Jkl012.@#;Soya;1
Roberto;González;robertogonzalez34@example.com;Mno345?&$;Pescado;1
Valentina;López;valentinalopez35@example.com;Pqr678!@#;Mariscos;1
Ricardo;Hernández;ricardohernandez36@example.com;Stu901.?&$;Huevo;1
Isabel;García;isabelgarcia37@example.com;Vwx234@#$;Soya;1
Luis;Rodríguez;luisrodriguez38@example.com;Yz01.?&$#;Pescado;1
Elena;Martínez;elenamartinez39@example.com;Abc123!@;Mariscos;1
Pedro;Gómez;pedrogomez40@example.com;Def456$#;Huevo;1
José;González;josegonzalez41@example.com;Abc123!@#;Cacahuetes;1
Carmen;Sánchez;carmensanchez42@example.com;Def456$#;Nueces;1
Antonio;López;antoniolopez43@example.com;Ghi789?&;Almendras;1
Marta;Gómez;martagomez44@example.com;Jkl012.@#;Soya;1
Roberto;Hernández;robertohernandez45@example.com;Mno345?&$;Pescado;1
Patricia;Torres;patriciatorres46@example.com;Pqr678!@#;Mariscos;1
Jorge;García;jorgegarcia47@example.com;Stu901.?&$;Huevo;1
Beatriz;Martínez;beatrizmartinez48@example.com;Vwx234@#$;Soya;1
Raúl;González;raulgonzalez49@example.com;Yz01.?&$#;Pescado;1
Elena;López;elenalopez50@example.com;Abc123!@;Mariscos;1
Francisco;Hernández;franciscohernandez51@example.com;Def456$#;Huevo;1
Lucía;Gómez;luciagomez52@example.com;Ghi789?&;Cacahuetes;1
Manuel;Torres;manueltorres53@example.com;Jkl012.@#;Nueces;1
Sara;García;saragarcia54@example.com;Mno345?&$;Almendras;1
Alejandro;Martínez;alejandromartinez55@example.com;Pqr678!@#;Soya;1
Ana;González;anagonzalez56@example.com;Stu901.?&$;Pescado;1
Diego;López;diegolopez57@example.com;Vwx234@#$;Mariscos;1
María;Hernández;mariahernandez58@example.com;Yz01.?&$#;Huevo;1
Carlos;García;carlosgarcia59@example.com;Abc123!@;Soya;1
Laura;Martínez;lauramartinez60@example.com;Def456$#;Pescado;1
Adrián;Vargas;adrianvargas61@example.com;Abc123!@#;Gluten;1
Catalina;Pérez;catalinaperez62@example.com;Def456$#;Lactosa;1
Mateo;Navarro;mateonavarro63@example.com;Ghi789?&;Cacahuetes;1
Valentina;Cortés;valentinacortes64@example.com;Jkl012.@#;Nueces;1
Leonardo;Molina;leonardomolina65@example.com;Mno345?&$;Almendras;1
Diana;Soto;dianasoto66@example.com;Pqr678!@#;Soya;1
Rafael;Vega;rafaelvega67@example.com;Stu901.?&$;Pescado;1
Carolina;Montes;carolinamontes68@example.com;Vwx234@#$;Mariscos;1
Gabriel;Santos;gabrielsantos69@example.com;Yz01.?&$#;Huevo;1
Luciana;Ortega;lucianaortega70@example.com;Abc123!@;Cacahuetes;1
Luisa;Rojas;luisarojas71@example.com;Def456$#;Nueces;1
Javier;Guerra;javierguerra72@example.com;Ghi789?&;Almendras;1
María;Silva;mariasilva73@example.com;Jkl012.@#;Soya;1
Daniel;Méndez;danielmendez74@example.com;Mno345?&$;Pescado;1
Sofía;Vargas;sofiavargas75@example.com;Pqr678!@#;Mariscos;1
Lorenzo;Cortés;lorenzocortes76@example.com;Stu901.?&$;Huevo;1
Mariana;López;marianalopez77@example.com;Vwx234@#$;Soya;1
Sebastián;Santos;sebastiansantos78@example.com;Yz01.?&$#;Pescado;1
Valeria;Montes;valeriamontes79@example.com;Abc123!@;Mariscos;1
Joaquín;Vega;joaquinvega80@example.com;Def456$#;Huevo;1
Isabella;Morales;isabellamorales81@example.com;Abc123!@#;Cacahuetes;1
Andrés;Cruz;andrescruz82@example.com;Def456$#;Nueces;1
Valeria;Herrera;valeriaherrera83@example.com;Ghi789?&;Almendras;1
Miguel;Santos;miguelsantos84@example.com;Jkl012.@#;Soya;1
Florencia;Cortés;florenciacortes85@example.com;Mno345?&$;Pescado;1
Emilio;Rojas;emiliorojas86@example.com;Pqr678!@#;Mariscos;1
Martina;Vega;martinavega87@example.com;Stu901.?&$;Huevo;1
Valentín;Montes;valentinmontes88@example.com;Vwx234@#$;Soya;1
Isabel;Silva;isabelsilva89@example.com;Yz01.?&$#;Pescado;1
Maximiliano;Guerra;maximilianoguerra90@example.com;Abc123!@;Mariscos;1
Luna;Vargas;lunavargas91@example.com;Def456$#;Huevo;1
Emiliano;Soto;emilianosoto92@example.com;Ghi789?&;Cacahuetes;1
Camila;Molina;camilamolina93@example.com;Jkl012.@#;Nueces;1
Benjamín;Ortega;benjaminortega94@example.com;Mno345?&$;Almendras;1
Victoria;Rojas;victoriarojas95@example.com;Pqr678!@#;Soya;1
Gabriela;Vega;gabrielavega96@example.com;Stu901.?&$;Pescado;1
Matías;Cortés;matiascortes97@example.com;Vwx234@#$;Mariscos;1
Julieta;López;julietalopez98@example.com;Yz01.?&$#;Huevo;1
Santiago;Herrera;santiagoherrera99@example.com;Abc123!@;Soya;1
Emilia;Montes;emiliamontes100@example.com;Def456$#;Pescado;
Gabriel;Gómez;gabrielgomez101@example.com;Abc123!@#;Aceitunas, Tomates frescos;2
Valentina;Suárez;valentinasuarez102@example.com;Def456$#;Queso parmesano, Pescado;2
Alejandro;Castillo;alejandrocastillo103@example.com;Ghi789?&;Leche condensada, Huevo;2
Ana;Navarro;ananavarro104@example.com;Jkl012.@#;Mostaza, Mariscos;2
Lucas;Peralta;lucasperalta105@example.com;Mno345?&$;Vinagre balsámico, Cacahuetes;2
Martina;Rojas;martinarojas106@example.com;Pqr678!@#;Almendras, Salsa de tomate;2
Daniel;Ortega;danielortega107@example.com;Stu901.?&$;Vinagre de vino tinto, Salsa de chile;2
Catalina;Flores;catalinaflores108@example.com;Vwx234@#$;Camarones, Aceite de oliva;2
Diego;Mendoza;diegomendoza109@example.com;Yz01.?&$#;Vinagre de arroz, Cebolla;2
Sofía;Vargas;sofiavargas110@example.com;Abc123!@;Salsa de enchilada, Pollo;2
Carlos;Hernández;carloshernandez111@example.com;Def456$#;Salsa de jalapeño, Ternera;2
Antonella;Soto;antonellasoto112@example.com;Ghi789?&;Salsa de tamarindo, Cerdo;2
Luis;González;luisgonzalez113@example.com;Jkl012.@#;Salsa de chipotle, Pescado;2
Isabella;Silva;isabellasilva114@example.com;Mno345?&$;Salsa hoisin, Mariscos;2
Juan;Torres;juantorres115@example.com;Pqr678!@#;Salsa de soja, Huevo;2
Carolina;Molina;carolinamolina116@example.com;Stu901.?&$;Salsa de tomate, Aceitunas;2
Samuel;Cabrera;samuelcabrera117@example.com;Vwx234@#$;Leche condensada, Queso parmesano;2
Victoria;Vega;victoriavega118@example.com;Yz01.?&$#;Mostaza, Cacahuetes;2
Julián;Rojas;julianrojas119@example.com;Abc123!@;Vinagre de vino tinto, Tomates frescos;2
Mariana;López;marianalopez101@example.com;Abc123!@#;Pimiento, Almejas;2
Sebastián;García;sebastiangarcia102@example.com;Def456$#@;Salsa de queso, Cacahuetes;2
Camila;Ramírez;camilaramirez103@example.com;Ghi789?&$;Vinagre de manzana, Pavo;2
Mateo;Herrera;mateoherrera104@example.com;Jkl012.@#;Salsa de jalapeño, Cerdo;2
Isabel;Muñoz;isabelmunoz105@example.com;Mno345?&;Leche de coco, Chorizo;2
Nicolás;Cortés;nicolascortes106@example.com;Pqr678!@#;Vino tinto, Almendras;2
Valeria;Sánchez;valeriasanchez107@example.com;Stu901.?&$;Vinagre de sidra, Salsa de chile;2
Emilio;Hernández;emiliohernandez108@example.com;Vwx234@#$;Aceite de oliva, Tomates frescos;2
Renata;González;renatagonzalez109@example.com;Yz01.?&$#;Vinagre de arroz, Bacon;2
Leonardo;Gómez;leonardogomez110@example.com;Abc123!@;Salsa de enchilada, Mejillones;2
María;Pérez;mariaperez111@example.com;Def456$#;Salsa de chipotle, Ternera;2
Santiago;Silva;santiagosilva112@example.com;Ghi789?&;Salsa de tamarindo, Pollo;2
Valentina;Castro;valentinacastro113@example.com;Jkl012.@#;Salsa hoisin, Salchichas;2
Gabriel;Ortega;gabrielortega114@example.com;Mno345?&$;Salsa de soja, Langostinos;2
Julieta;Luna;julietaluna115@example.com;Pqr678!@#;Salsa de tomate, Caldo de pollo;2
Diego;Vega;diegovega116@example.com;Stu901.?&$;Vinagre balsámico, Sal;2
Valeria;Flores;valeriaflores117@example.com;Vwx234@#$;Camarones, Aceitunas;2
Lucas;Rojas;lucasrojas118@example.com;Yz01.?&$#;Leche condensada, Caldo de carne;2
Valentina;Molina;valentinamolina119@example.com;Abc123!@;Mostaza, Anchoas en conserva;2
Andrés;Fernández;andresfernandez120@example.com;Abc123!@#;Aceitunas, Calabacín;2
Valentina;Cruz;valentinacruz121@example.com;Def456$#@;Pescado, Calamares;2
Luciano;Mendoza;lucianomendoza122@example.com;Ghi789?&$;Vinagre de vino blanco, Pimentón picante;2
Emma;Navarro;emmanavarro123@example.com;Jkl012.@#;Vinagre de vino tinto, Leche evaporada;2
Matías;Ortiz;matiasortiz124@example.com;Mno345?&;Salsa de queso, Lentejas;2
Sofía;Ríos;sofiarios125@example.com;Pqr678!@#;Salsa de jalapeño, Zanahorias;2
Benjamín;Cabrera;benjamincabrera126@example.com;Stu901.?&$;Salsa de chile, Berengena;2
Valeria;Vargas;valeriavargas127@example.com;Vwx234@#$;Salsa de tamarindo, Ciruelas pasas;2
Daniel;Acosta;danielacosta128@example.com;Yz01.?&$#;Salsa de chipotle, Nuez moscada;2
Isabella;Miranda;isabellamiranda129@example.com;Abc123!@;Salsa hoisin, Limoncello;2
Lorenzo;Moreno;lorenzomoreno130@example.com;Def456$#;Salsa de soja, Bacalao;2
Valentina;Gallardo;valentinagallardo131@example.com;Ghi789?&;Salsa de tomate, Arroz;2
Sebastián;Paredes;sebastianparedes132@example.com;Jkl012.@#;Vino blanco, Cilantro;2
Valeria;Sepúlveda;valeriasepulveda133@example.com;Mno345?&$;Vino tinto, Espinacas;2
Emilia;Soto;emiliasoto134@example.com;Pqr678!@#;Caldo de pollo, Acelgas;2
Benjamín;Muñoz;benjaminmunoz135@example.com;Stu901.?&$;Caldo de carne, Lechuga;2
Valentina;Salgado;valentinasalgado136@example.com;Vwx234@#$;Miel, Albahaca;2
Matías;Vidal;matiasvidal137@example.com;Yz01.?&$#;Mostaza, Tomillo;2
Lucía;Correa;luciacorrea138@example.com;Abc123!@;Masa de hojaldre, Romero;2
Gabriel;Hernández;gabrielhernandez140@example.com;Abc123!@#;Pimiento, Salchichas;2
Martina;Guerrero;martinaguerrero141@example.com;Def456$#@;Levadura, Jamón serrano;2
Sebastián;Campos;sebastiancampos142@example.com;Ghi789?&$;Cebolla, Bacon;2
Valentina;Montes;valentinamontes143@example.com;Jkl012.@#;Pollo, Chorizo;2
Luciano;Vega;lucianovega144@example.com;Mno345?&;Ternera, Lomo;2
Emma;Olivares;emmaolivares145@example.com;Pqr678!@#;Cerdo, Pescado;2
Matías;Peña;matiaspena146@example.com;Stu901.?&$;Calabaza, Langostinos;2
Sofía;Ponce;sofiaponce147@example.com;Vwx234@#$;Patatas, Almejas;2
Benjamín;Silva;benjaminsilva148@example.com;Yz01.?&$#;Zanahorias, Calamares;2
Valeria;Rojas;valeriarojas149@example.com;Abc123!@;Brócoli, Pulpo;2
Lorenzo;Vargas;lorenzovargas150@example.com;Def456$#;Calabacín, Aceitunas;2
Valentina;Cortés;valentinacortes151@example.com;Ghi789?&;Judías verdes, Tomates frescos;2
Benjamín;Araya;benjaminaraya152@example.com;Jkl012.@#;Berengena, Camarones;2
Valeria;Soto;valeriasoto153@example.com;Mno345?&$;Espinacas, Mejillones;2
Sebastián;Gómez;sebastiangomez154@example.com;Pqr678!@#;Lechuga, Almejas;2
Valentina;Molina;valentinamolina155@example.com;Stu901.?&$;Cebolla tierna, Langostinos;2
Emilia;Castillo;emiliacastillo156@example.com;Vwx234@#$;Pimiento, Calamares;2
Benjamín;Morales;benjaminmorales157@example.com;Yz01.?&$#;Salchichas, Aceitunas;2
Valeria;Correa;valeriacorrea158@example.com;Abc123!@;Salchichas, Tomates frescos;2
Matías;Vidal;matiasvidal159@example.com;Def456$#@;Masa de hojaldre, Calabacín;2
Alejandro;López;alejandrolopez160@example.com;Abc123!@#;;0
Valentina;García;valentinagarcia161@example.com;Def456$#@;;0
Matías;Torres;matiastorres162@example.com;Ghi789?&$;;0
Fernanda;Ortega;fernandaortega163@example.com;Jkl012.@#;;0
Santiago;Rivas;santiagorivas164@example.com;Mno345?&;;0
Sofía;Navarro;sofianavarro165@example.com;Pqr678!@#;;0
Gabriel;Camacho;gabrielcamacho166@example.com;Stu901.?&$;;0
Isabella;Santos;isabellasantos167@example.com;Vwx234@#$;;0
Lucas;Vargas;lucasvargas168@example.com;Yz01.?&$#;;0
Valentina;Moreno;valentinamoreno169@example.com;Abc123!@;;0
Mateo;Silva;mateosilva170@example.com;Def456$#;;0
Martina;Cruz;martinacruz171@example.com;Ghi789?&;;0
Sebastián;Guerrero;sebastianguerrero172@example.com;Jkl012.@#;;0
Valeria;Pérez;valeriaperez173@example.com;Mno345?&$;;0
Diego;Hernández;diegohernandez174@example.com;Pqr678!@#;;0
Emma;Gómez;emmagomez175@example.com;Stu901.?&$;;0
Luciano;Fuentes;lucianofuentes176@example.com;Vwx234@#$;;0
Valentina;Muñoz;valentinamunoz177@example.com;Yz01.?&$#;;0
Matías;Escobar;matiasescobar178@example.com;Abc123!@;;0
Isabella;Herrera;isabellaherrera179@example.com;Def456$#;;0
Gabriel;Vega;gabrielvega180@example.com;Abc123!@#;;0
Isabella;Romero;isabellaromero181@example.com;Def456$#@;;0
Samuel;González;samuelgonzalez182@example.com;Ghi789?&$;;0
Valentina;Rojas;valentinarojas183@example.com;Jkl012.@#;;0
Mateo;Pérez;mateoperez184@example.com;Mno345?&;;0
Sofía;Herrera;sofiaherrera185@example.com;Pqr678!@#;;0
Sebastián;Ramírez;sebastianramirez186@example.com;Stu901.?&$;;0
Valeria;Molina;valeriamolina187@example.com;Vwx234@#$;;0
Benjamín;Vargas;benjaminvargas188@example.com;Yz01.?&$#;;0
Luciana;Gómez;lucianagomez189@example.com;Abc123!@;;0
Diego;Hernández;diegohernandez190@example.com;Def456$#;;0
Emma;Soto;emmasoto191@example.com;Ghi789?&;;0
Lucas;Herrera;lucasherrera192@example.com;Jkl012.@#;;0
Martina;Muñoz;martinamunoz193@example.com;Mno345?&$;;0
Joaquín;Silva;joaquinsilva194@example.com;Pqr678!@#;;0
Valentina;Guerrero;valentinaguerrero195@example.com;Stu901.?&$;;0
Benjamín;Mendoza;benjaminmendoza196@example.com;Vwx234@#$;;0
Maite;Castillo;maitecastillo197@example.com;Yz01.?&$#;;0
Santiago;Paz;santiagopaz198@example.com;Abc123!@;;0
Valeria;Sánchez;valeriasanchez199@example.com;Def456$#;;0
Emilio;Flores;emilioflores200@example.com;Ghi789?&;;0
Martina;López;martinalopez201@example.com;Jkl012.@#;;0
Matías;Rojas;matiasrojas202@example.com;Mno345?&$;;0
Sofía;García;sofiagarcia203@example.com;Pqr678!@#;;0
Sebastián;Castro;sebastiancastro204@example.com;Stu901.?&$;;0
Valentina;Soto;valentinasoto205@example.com;Vwx234@#$;;0
Tomás;Molina;tomasmolina206@example.com;Yz01.?&$#;;0
Isabella;Vega;isabellavega207@example.com;Abc123!@;;0
Matías;Pérez;matiasperez208@example.com;Def456$#;;0
Martina;Herrera;martinaherrera209@example.com;Ghi789?&;;0
Alejandro;Guzmán;alejandroguzman210@example.com;Abc123!@#;;0
Adriana;Santos;adrianasantos211@example.com;Def456$#@;;0
Javier;Delgado;javierdelgado212@example.com;Ghi789?&$;;0
Camila;Rivas;camilarivas213@example.com;Jkl012.@#;;0
Andrés;Navarro;andresnavarro214@example.com;Mno345?&;;0
Carolina;Fuentes;carolinafuentes215@example.com;Pqr678!@#;;0
Fernando;Luna;fernandoluna216@example.com;Stu901.?&$;;0
Catalina;Vargas;catalinavargas217@example.com;Vwx234@#$;;0
Mauricio;Cortés;mauriciocortes218@example.com;Yz01.?&$#;;0
Daniela;Mendoza;danielamendoza219@example.com;Abc123!@;;0
Miguel;Castro;miguelcastro220@example.com;Def456$#;;0
Laura;Soto;laurasoto221@example.com;Ghi789?&;;0
Gustavo;Hernández;gustavohernandez222@example.com;Jkl012.@#;;0
Daniela;Muñoz;danielamunoz223@example.com;Mno345?&$;;0
José;Silva;josesilva224@example.com;Pqr678!@#;;0
Carolina;Guerrero;carolinaguerrero225@example.com;Stu901.?&$;;0
Juan;Mendoza;juanmendoza226@example.com;Vwx234@#$;;0
Ana;Castillo;anacastillo227@example.com;Yz01.?&$#;;0
Luis;Paz;luispaz228@example.com;Abc123!@;;0
Carolina;Sánchez;carolinasanchez229@example.com;Def456$#;;0
Sergio;Flores;sergioflores230@example.com;Ghi789?&;;0
Laura;López;lauralopez231@example.com;Jkl012.@#;;0
Andrés;Rojas;andresrojas232@example.com;Mno345?&$;;0
Sofía;García;sofiagarcia233@example.com;Pqr678!@#;;0
Sebastián;Castro;sebastiancastro234@example.com;Stu901.?&$;;0
Valentina;Soto;valentinasoto235@example.com;Vwx234@#$;;0
Tomás;Molina;tomasmolina236@example.com;Yz01.?&$#;;0
Isabella;Vega;isabellavega237@example.com;Abc123!@;;0
Matías;Pérez;matiasperez238@example.com;Def456$#;;0
Martina;Herrera;martinaherrera239@example.com;Ghi789?&;;0
Antonio;Martínez;antoniomartinez240@example.com;Abc123!@#;;0
María;Herrera;mariaherrera241@example.com;Def456$#@;;0
Roberto;Pérez;robertoperez242@example.com;Ghi789?&$#@;;0
Isabel;González;isabelgonzalez243@example.com;Jkl012.?&$#@;;0
Francisco;Vargas;franciscovargas244@example.com;Mno345?&$#@;;0
Elena;Sánchez;elenasanchez245@example.com;Pqr678?&$#@;;0
Alejandro;Romero;alejandroromero246@example.com;Stu901?&$#@;;0
María;Morales;mariamorales247@example.com;Vwx234.?&$#@;;0
Pedro;Mendoza;pedromendoza248@example.com;Yz01.?&$#@;;0
Raquel;García;raquelgarcia249@example.com;Abc123!@#;;0
Jorge;Flores;jorgeflores250@example.com;Def456$#@;;0
Ana;Paz;anapaz251@example.com;Ghi789?&$#@;;0
Carlos;Silva;carlossilva252@example.com;Jkl012.?&$#@;;0
María;Soto;mariasoto253@example.com;Mno345?&$#@;;0
Roberto;Hernández;robertohernandez254@example.com;Pqr678?&$#@;;0
Laura;Gómez;lauragomez255@example.com;Stu901?&$#@;;0
Fernando;López;fernandolopez256@example.com;Vwx234.?&$#@;;0
Mónica;Castro;monicacastro257@example.com;Yz01.?&$#@;;0
Gonzalo;Rojas;gonzalorojas258@example.com;Abc123!@#;;0
Valentina;Vega;valentinavega259@example.com;Def456$#@;;0
Daniel;Sánchez;danielsanchez260@example.com;Ghi789?&$#@;;0
Luisa;Flores;luisaflores261@example.com;Jkl012.?&$#@;;0
Diego;Molina;diegomolina262@example.com;Mno345?&$#@;;0
María;González;mariagonzalez263@example.com;Pqr678?&$#@;;0
Sergio;Gómez;sergiogomez264@example.com;Stu901?&$#@;;0
Andrea;Herrera;andreaherrera265@example.com;Vwx234.?&$#@;;0
Pablo;Rojas;pablorojas266@example.com;Yz01.?&$#@;;0
Carolina;García;carolinagarcia267@example.com;Abc123!@#;;0
Manuel;Pérez;manuelperez268@example.com;Def456$#@;;0
Camila;Herrera;camilaherrera269@example.com;Ghi789?&$#@;;0
Andrés;Aspiri;camilaherrera2AA69@example.com;Ghi7ASDA89?&$#@;;0
Juan;Ramírez;juanramirez276@example.com;Abc123!@#;;0
Sofía;Torres;sofiatorres277@example.com;Def456$#@;;0
Andrés;Navarro;andresnavarro278@example.com;Ghi789?&$#@;;0
Valeria;Guzmán;valeriaguzman279@example.com;Jkl012.?&$#@;;0
David;Ortega;davidortega280@example.com;Mno345?&$#@;;0
Gabriela;Ríos;gabrielarios281@example.com;Pqr678?&$#@;;0
Óscar;Cortés;oscarcortes282@example.com;Stu901?&$#@;;0
Carolina;Delgado;carolinadelgado283@example.com;Vwx234.?&$#@;;0
Juan;Mendoza;juanmendoza284@example.com;Yz01.?&$#@;;0
Ana;Vargas;anavargas285@example.com;Abc123!@#;;0
Miguel;Rojas;miguelrojas286@example.com;Def456$#@;;0
Fernanda;Paz;fernandapaz287@example.com;Ghi789?&$#@;;0
Sebastián;Castañeda;sebastiancastaneda288@example.com;Jkl012.?&$#@;;0
Camila;Sánchez;camilasanchez289@example.com;Mno345?&$#@;;0
Daniel;Pérez;danielperez290@example.com;Pqr678?&$#@;;0
Alejandra;Hernández;alejandrahernandez291@example.com;Stu901?&$#@;;0
Diego;Luna;diegoluna292@example.com;Vwx234.?&$#@;;0
Sara;Gómez;saragomez293@example.com;Yz01.?&$#@;;0
Adrián;Silva;adriansilva294@example.com;Abc123!@#;;0
Valentina;Delgado;valentinadelgado295@example.com;Def456$#@;;0
Pedro;Castañeda;pedrocastaneda296@example.com;Ghi789?&$#@;;0
Lucía;Vargas;luciavargas297@example.com;Jkl012.?&$#@;;0
Javier;Ortega;javierortega298@example.com;Mno345?&$#@;;0
María;Guzmán;mariaguzman299@example.com;Pqr678?&$#@;;0
Andrea;Ríos;andrearíos300@example.com;Stu901?&$#@;;0
Rodrigo;Navarro;rodrigonavarro301@example.com;Vwx234.?&$#@;;0
Paula;Torres;paulatorres302@example.com;Yz01.?&$#@;;0
Juan;Cortés;juancortés303@example.com;Abc123!@#;;0
Laura;Ramírez;lauraramírez304@example.com;Def456$#@;;0
Cristian;Delgado;cristiandelgado305@example.com;Ghi789?&$#@;;0
Javier;Santos;javiersantos031@example.com;Abc123!@#;;0
Marta;Herrera;martaherrera032@example.com;Def456$#@;;0
Diego;Vargas;diegovargas033@example.com;Ghi789?&$#@;;0
Sara;Giménez;saragimenez034@example.com;Jkl012.?&$#@;;0
Hugo;Fuentes;hugofuentes035@example.com;Mno345?&$#@;;0
Adriana;Cortés;adrianacortes036@example.com;Pqr678?&$#@;;0
Gonzalo;Molina;gonzalomolina037@example.com;Stu901?&$#@;;0
Inés;Ortega;inesortega038@example.com;Vwx234.?&$#@;;0
Oscar;Silva;oscarsilva039@example.com;Yz01.?&$#@;;0
Camila;Navarro;camilanavarro040@example.com;Abc123!@#;;0
Simón;González;simongonzalez041@example.com;Def456$#@;;0
Valeria;Ríos;valeriarios042@example.com;Ghi789?&$#@;;0
Santiago;Paz;santiagopaz043@example.com;Jkl012.?&$#@;;0
Alicia;Delgado;aliciadelgado044@example.com;Mno345?&$#@;;0
Tomás;Castañeda;tomascastañeda045@example.com;Pqr678?&$#@;;0
Isabella;Sánchez;isabellasanchez046@example.com;Stu901?&$#@;;0
Mateo;Guzmán;mateoguzman047@example.com;Vwx234.?&$#@;;0
Lucía;Ortega;luciaortega048@example.com;Yz01.?&$#@;;0
Manuel;Ramírez;manuelramirez049@example.com;Abc123!@#;;0
Isabel;Navarro;isabelnavarro050@example.com;Def456$#@;;0
Héctor;Cortés;hectorcortes051@example.com;Ghi789?&$#@;;0
Olivia;García;oliviagarcia052@example.com;Jkl012.?&$#@;;0
Juan;López;juanlopez053@example.com;Mno345?&$#@;;0
Natalia;Martínez;nataliamartinez054@example.com;Pqr678?&$#@;;0
Lucas;Hernández;lucashernandez055@example.com;Stu901?&$#@;;0
Catalina;Gómez;catalinagomez056@example.com;Vwx234.?&$#@;;0
Sebastián;Rodríguez;sebastianrodriguez057@example.com;Yz01.?&$#@;;0
Emma;Pérez;emmaperez058@example.com;Abc123!@#;;0
Benjamín;Gómez;benjamingomez059@example.com;Def456$#@;;0
Mariana;Torres;marianatorres060@example.com;Ghi789?&$#@;;0
Pablo;Mendoza;pablomendoza061@example.com;Abc123!@#;;0
Carolina;Ruiz;carolinaruiz062@example.com;Def456$#@;;0
Daniel;Santana;danielsantana063@example.com;Ghi789?&$#@;;0
Valentina;Cruz;valentinacruz064@example.com;Jkl012.?&$#@;;0
Andrés;Gallardo;andresgallardo065@example.com;Mno345?&$#@;;0
María;Escobar;mariaescobar066@example.com;Pqr678?&$#@;;0
Pedro;Rojas;pedrorojas067@example.com;Stu901?&$#@;;0
Renata;Montoya;renatamontoya068@example.com;Vwx234.?&$#@;;0
Ignacio;Guzmán;ignacioguzman069@example.com;Yz01.?&$#@;;0
Laura;Herrera;lauraherrera070@example.com;Abc123!@#;;0
Fernando;Salazar;fernandosalazar071@example.com;Def456$#@;;0
Julia;Navarro;julianavarro072@example.com;Ghi789?&$#@;;0
Mateo;Serrano;mateoserrano073@example.com;Jkl012.?&$#@;;0
Gabriela;Silva;gabrielasilva074@example.com;Mno345?&$#@;;0
Felipe;Molina;felipemolina075@example.com;Pqr678?&$#@;;0
Alejandra;Ortega;alejandraortega076@example.com;Stu901?&$#@;;0
Diego;Paredes;diegoparedes077@example.com;Vwx234.?&$#@;;0
Catalina;Castro;catalinacastro078@example.com;Yz01.?&$#@;;0
Sebastián;Campos;sebastiancampos079@example.com;Abc123!@#;;0
Isabella;García;isabellagarcia080@example.com;Def456$#@;;0
José;Mendez;josemendez081@example.com;Ghi789?&$#@;;0
Camila;Cortez;camilacortez082@example.com;Jkl012.?&$#@;;0
Matías;Vargas;matiasvargas083@example.com;Mno345?&$#@;;0
Valeria;Ríos;valeriarios084@example.com;Pqr678?&$#@;;0
Santiago;Morales;santiagomorales085@example.com;Stu901?&$#@;;0
Victoria;Hernández;victoriahernandez086@example.com;Vwx234.?&$#@;;0
Gabriel;Cruz;gabrielcruz087@example.com;Yz01.?&$#@;;0
